text,intent,style,length_bucket,split,text_clean
sgkda kac gunum var,premium_days_query,bozuk,kısa,train,sgkda kac gunum var
Şimdiye kadar kaç gün prim yatırılmış,premium_days_query,normal,orta,train,şimdiye kadar kaç gün prim yatırılmış
Toplam sigortalılık gün sayım ne kadar,premium_days_query,normal,orta,train,toplam sigortalılık gün sayım ne kadar
prim gün sayım ne kadar,premium_days_query,normal,orta,train,prim gün sayım ne kadar
prim günlerim kaçmış,premium_days_query,normal,uzun,train,prim günlerim kaçmış
toplam prim günümü öğrenmek istiyom,premium_days_query,günlük,uzun,train,toplam prim günümü öğrenmek istiyom
sigortalılık sürem toplam kaç gün,premium_days_query,günlük,uzun,train,sigortalılık sürem toplam kaç gün
farklı işyerlerinde çalıştım toplam prim günlerimin ne kadar olduğunu sgk'dan sorgulamak istiyorum,premium_days_query,normal,uzun,train,farklı işyerlerinde çalıştım toplam prim günlerimin ne kadar olduğunu sgk dan sorgulamak istiyorum
sgk da kac gunum birikmis,premium_days_query,bozuk,uzun,train,sgk da kac gunum birikmis
bu güne kadar yatırılan prim gün sayısı,premium_days_query,normal,orta,train,bu güne kadar yatırılan prim gün sayısı
şimdiye kadar tüm işyerlerinde çalıştığım toplam prim gün sayısını öğrenmek istiyom,premium_days_query,günlük,uzun,train,şimdiye kadar tüm işyerlerinde çalıştığım toplam prim gün sayısını öğrenmek istiyom
sgk gün sayısı,premium_days_query,normal,uzun,train,sgk gün sayısı
şimdiye kadar yazılan prim gün sayımı görmek istiyorum,premium_days_query,normal,orta,train,şimdiye kadar yazılan prim gün sayımı görmek istiyorum
kaç gün primim birikmiş,premium_days_query,normal,kısa,train,kaç gün primim birikmiş
sgk'daki gün sayımın toplamını öğrenmek istiyom,premium_days_query,günlük,orta,train,sgk daki gün sayımın toplamını öğrenmek istiyom
tüm işyerlerindeki toplam çalışma günlerim,premium_days_query,normal,orta,train,tüm işyerlerindeki toplam çalışma günlerim
sgk gün sayısı sorgulama,premium_days_query,normal,kısa,train,sgk gün sayısı sorgulama
günlerim yeterli mi sgk da,premium_days_query,normal,orta,validation,günlerim yeterli mi sgk da
prim gunum ne kadar,premium_days_query,bozuk,kısa,validation,prim gunum ne kadar
prim gün sayım,premium_days_query,günlük,uzun,validation,prim gün sayım
toplam kaç günlük primim olduğunu öğrenmek istiyorum,premium_days_query,normal,uzun,validation,toplam kaç günlük primim olduğunu öğrenmek istiyorum
prim gün sayım ne durumda,premium_days_query,günlük,orta,validation,prim gün sayım ne durumda
toplam prim günüm kaç,premium_days_query,normal,kısa,validation,toplam prim günüm kaç
toplam günüm ne kadar olmuş,premium_days_query,normal,orta,validation,toplam günüm ne kadar olmuş
toplam sigorta günlerime nasıl bakabilirim,premium_days_query,normal,uzun,test,toplam sigorta günlerime nasıl bakabilirim
kac gun primim olmus,premium_days_query,bozuk,kısa,test,kac gun primim olmus
toplam günlerim kaç,premium_days_query,normal,kısa,test,toplam günlerim kaç
sgk'da birikmiş toplam prim gün sayım,premium_days_query,normal,uzun,test,sgk da birikmiş toplam prim gün sayım
toplam gun hesabima nereden bakabilirim,premium_days_query,bozuk,orta,test,toplam gun hesabima nereden bakabilirim
sgk'daki toplam prim gün sayımı öğrenmek istiyorum,premium_days_query,normal,orta,test,sgk daki toplam prim gün sayımı öğrenmek istiyorum
kaç günlük primim varmış,premium_days_query,normal,uzun,test,kaç günlük primim varmış
prim gün sayımı sorgulamak istiyorum,premium_days_query,günlük,orta,test,prim gün sayımı sorgulamak istiyorum
sgk ya ödeme yapcam nasıl,premium_payment_query,normal,uzun,train,sgk ya ödeme yapcam nasıl
prim yatırmak istiyorum,premium_payment_query,günlük,kısa,train,prim yatırmak istiyorum
sgk'ya ödeme yapacağım,premium_payment_query,günlük,kısa,train,sgk ya ödeme yapacağım
sgk odeme ekrani nerede,premium_payment_query,bozuk,kısa,train,sgk odeme ekrani nerede
gss borcumu internetten ödemek istiyom,premium_payment_query,normal,orta,train,gss borcumu internetten ödemek istiyom
sgk prim odeme ekranina nasil ulasabilirim,premium_payment_query,bozuk,uzun,train,sgk prim odeme ekranina nasil ulasabilirim
primimi yatırcam nereden,premium_payment_query,normal,orta,train,primimi yatırcam nereden
sgk prim ödeme son tarihi ne zaman,premium_payment_query,normal,uzun,train,sgk prim ödeme son tarihi ne zaman
sgk prim ödemesi için online ekrana gitmek istiyom,premium_payment_query,günlük,orta,train,sgk prim ödemesi için online ekrana gitmek istiyom
Prim borcumu nasıl ödeyebilirim,premium_payment_query,normal,orta,train,prim borcumu nasıl ödeyebilirim
kredi kartıyla sgk prim ödemesi mümkün mü,premium_payment_query,normal,orta,train,kredi kartıyla sgk prim ödemesi mümkün mü
sgk tahsilat ekranına nasıl ulaşırım,premium_payment_query,normal,orta,train,sgk tahsilat ekranına nasıl ulaşırım
e-devlet veya sgk'nın resmi sitesi üzerinden prim ödemesi nası yapılır adım adım anlatır mısınız,premium_payment_query,günlük,uzun,train,e devlet veya sgk nın resmi sitesi üzerinden prim ödemesi nası yapılır adım adım anlatır mısınız
Prim ödeme işlemini nereden yapabilirim,premium_payment_query,normal,orta,train,prim ödeme işlemini nereden yapabilirim
SGK prim ödemesi yapmak istiyorum,premium_payment_query,normal,orta,train,sgk prim ödemesi yapmak istiyorum
kartla sgk borcu ödeme adımlarını öğrenmek istiyorum,premium_payment_query,normal,uzun,train,kartla sgk borcu ödeme adımlarını öğrenmek istiyorum
borcumu nası ödicem sgk ya,premium_payment_query,günlük,orta,train,borcumu nası ödicem sgk ya
prim odemesi nasil yapilir,premium_payment_query,bozuk,kısa,train,prim odemesi nasil yapilir
sgkya olan prim borcumu kapatmak istiyorum,premium_payment_query,bozuk,uzun,train,sgkya olan prim borcumu kapatmak istiyorum
sgk ödeme ekranına gitmek istiyom,premium_payment_query,normal,orta,train,sgk ödeme ekranına gitmek istiyom
sgk ödememi yapmak istiyorum,premium_payment_query,normal,kısa,train,sgk ödememi yapmak istiyorum
Aylık prim ödememi yapmak istiyorum,premium_payment_query,normal,orta,train,aylık prim ödememi yapmak istiyorum
sgk ya para yatırcam,premium_payment_query,normal,orta,train,sgk ya para yatırcam
sgk'ya prim yatırmak istiyorum,premium_payment_query,günlük,kısa,train,sgk ya prim yatırmak istiyorum
sgk primlerimi taksitle ödeyebilir miyim,premium_payment_query,günlük,uzun,train,sgk primlerimi taksitle ödeyebilir miyim
sgk primini kartla mı eft ile mi ödemek daha iyi,premium_payment_query,normal,uzun,train,sgk primini kartla mı eft ile mi ödemek daha iyi
primimi ödemek istiyorum nereden yapabilirim,premium_payment_query,bozuk,orta,train,primimi ödemek istiyorum nereden yapabilirim
banka üzerinden sgk prim ödemesi yapabilir miyim,premium_payment_query,normal,orta,train,banka üzerinden sgk prim ödemesi yapabilir miyim
prim borcumu ödemek istiyorum,premium_payment_query,günlük,kısa,train,prim borcumu ödemek istiyorum
Prim ödeme yöntemlerini öğrenmek istiyorum,premium_payment_query,normal,orta,train,prim ödeme yöntemlerini öğrenmek istiyorum
internet üzerinden sgk ödemesi yapacağım,premium_payment_query,normal,orta,train,internet üzerinden sgk ödemesi yapacağım
sgk ödeme nerde yapılıyo,premium_payment_query,normal,kısa,train,sgk ödeme nerde yapılıyo
sgk borcu ödeme sayfasına gitmek istiyom,premium_payment_query,günlük,orta,train,sgk borcu ödeme sayfasına gitmek istiyom
ödeme yap sgk,premium_payment_query,normal,kısa,train,ödeme yap sgk
prim ödemesi nasıl yapılıyo,premium_payment_query,normal,kısa,train,prim ödemesi nasıl yapılıyo
SGK ödememi tamamlamak istiyorum,premium_payment_query,normal,orta,validation,sgk ödememi tamamlamak istiyorum
bagkur primimi odemek istiyorum,premium_payment_query,bozuk,kısa,validation,bagkur primimi odemek istiyorum
prim ödememi nası tamamlarım,premium_payment_query,günlük,kısa,validation,prim ödememi nası tamamlarım
sgk ödeme yapmak istiyorum,premium_payment_query,normal,kısa,validation,sgk ödeme yapmak istiyorum
borcumu nası öderim sgk,premium_payment_query,günlük,orta,validation,borcumu nası öderim sgk
sgk prim ödemesi için hangi kanalları kullanabilirim,premium_payment_query,normal,orta,validation,sgk prim ödemesi için hangi kanalları kullanabilirim
bağkur prim borcumu online olarak ödemek istiyorum hangi bankalar veya platformlar üzerinden ödeme yapabilirim,premium_payment_query,normal,uzun,validation,bağkur prim borcumu online olarak ödemek istiyorum hangi bankalar veya platformlar üzerinden ödeme yapabilirim
aylık sgk primimi düzenli otomatik ödeme talimatıyla yatırabilir miyim nasıl ayarlarım,premium_payment_query,normal,uzun,test,aylık sgk primimi düzenli otomatik ödeme talimatıyla yatırabilir miyim nasıl ayarlarım
sgk odeme ekrani,premium_payment_query,bozuk,kısa,test,sgk odeme ekrani
e-devlet üzerinden sgk ödemesi nasıl yapılır,premium_payment_query,normal,orta,test,e devlet üzerinden sgk ödemesi nasıl yapılır
prim borcumu ödemek istiyom,premium_payment_query,normal,orta,test,prim borcumu ödemek istiyom
borcumu kapatmak icin odeme ekranini acmak istiyorum,premium_payment_query,bozuk,orta,test,borcumu kapatmak icin odeme ekranini acmak istiyorum
prim borcumu e-devlet üzerinden yatırabilir miyim,premium_payment_query,normal,orta,test,prim borcumu e devlet üzerinden yatırabilir miyim
sgk primimi internet üzerinden ödeyebilir miyim,premium_payment_query,normal,orta,test,sgk primimi internet üzerinden ödeyebilir miyim
sgk'ya para yatırmak istiyorum,premium_payment_query,günlük,kısa,test,sgk ya para yatırmak istiyorum
SGK tescil belgesimi almak istiyorum,registration_document_query,normal,uzun,train,sgk tescil belgesimi almak istiyorum
sigortalı olduğumu kanıtlayan resmi evrak,registration_document_query,günlük,orta,train,sigortalı olduğumu kanıtlayan resmi evrak
tescil belgesi alabilir miyim,registration_document_query,günlük,kısa,train,tescil belgesi alabilir miyim
sigorta belgesini nereden alcam,registration_document_query,bozuk,kısa,train,sigorta belgesini nereden alcam
sgk belgesini nasıl indirebilirim,registration_document_query,normal,kısa,train,sgk belgesini nasıl indirebilirim
sgk belgesi al,registration_document_query,bozuk,kısa,train,sgk belgesi al
SGK kayıt belgemi indirmek istiyorum,registration_document_query,normal,orta,train,sgk kayıt belgemi indirmek istiyorum
sigorta belgesini nasıl alırım,registration_document_query,normal,kısa,train,sigorta belgesini nasıl alırım
sigortalılık durumumu gösteren resmi belge almak istiyorum,registration_document_query,günlük,orta,train,sigortalılık durumumu gösteren resmi belge almak istiyorum
sgk kayıt belgesini indirmek istiyorum,registration_document_query,normal,orta,train,sgk kayıt belgesini indirmek istiyorum
iş başvurusunda sgk belgesi istenmiş nasıl alırım,registration_document_query,normal,uzun,train,iş başvurusunda sgk belgesi istenmiş nasıl alırım
sgk tescil ve kayıt belgesini nereden alırım,registration_document_query,normal,uzun,train,sgk tescil ve kayıt belgesini nereden alırım
sgk'dan resmi belge almam gerekiyor,registration_document_query,günlük,orta,train,sgk dan resmi belge almam gerekiyor
sgk dan belge almam gerekiyor,registration_document_query,normal,orta,train,sgk dan belge almam gerekiyor
Sigortalı olduğumu gösteren belge lazım,registration_document_query,normal,orta,train,sigortalı olduğumu gösteren belge lazım
sgk kayıt belgesini pdf olarak indirebilir miyim,registration_document_query,normal,orta,train,sgk kayıt belgesini pdf olarak indirebilir miyim
sgk kayıt belgesi,registration_document_query,günlük,uzun,train,sgk kayıt belgesi
sgk kayit evraki,registration_document_query,bozuk,kısa,train,sgk kayit evraki
sgk belge cikarma,registration_document_query,bozuk,kısa,train,sgk belge cikarma
sigorta evrakım lazım nereden alırım,registration_document_query,normal,orta,train,sigorta evrakım lazım nereden alırım
Sigortalılık tescil belgesine ihtiyacım var,registration_document_query,normal,orta,train,sigortalılık tescil belgesine ihtiyacım var
sgk belgemi indircem nasıl yapıyorum,registration_document_query,normal,orta,train,sgk belgemi indircem nasıl yapıyorum
sgk tescil belgesi e-devlet üzerinden alınabilir mi,registration_document_query,normal,uzun,train,sgk tescil belgesi e devlet üzerinden alınabilir mi
sgk'dan aldığım sigortalılık belgesinin resmi kurumlar tarafından geçerli sayılıp sayılmadığını öğrenmek istiyom,registration_document_query,günlük,uzun,train,sgk dan aldığım sigortalılık belgesinin resmi kurumlar tarafından geçerli sayılıp sayılmadığını öğrenmek istiyom
banka için sgk kaydımı gösteren belge lazım,registration_document_query,günlük,orta,train,banka için sgk kaydımı gösteren belge lazım
SGK tescil durumu belgesi talep etmek istiyorum,registration_document_query,normal,orta,train,sgk tescil durumu belgesi talep etmek istiyorum
banka kredi basvurusunda sgk kaydi ve sigortalilik belgesi isteniyor bu belgeyi nereden temin edebilirim,registration_document_query,bozuk,uzun,train,banka kredi basvurusunda sgk kaydi ve sigortalilik belgesi isteniyor bu belgeyi nereden temin edebilirim
sigorta kaydımı belgeleyen evrak lazım,registration_document_query,normal,orta,train,sigorta kaydımı belgeleyen evrak lazım
sgk belgesi lazım,registration_document_query,günlük,uzun,train,sgk belgesi lazım
e-devlet üzerinden sgk tescil belgemi online olarak alıp yazdırabilir miyim,registration_document_query,normal,uzun,train,e devlet üzerinden sgk tescil belgemi online olarak alıp yazdırabilir miyim
sigortalı olduğumu kanıtlayan belgeyi indirmek istiyorum,registration_document_query,normal,orta,train,sigortalı olduğumu kanıtlayan belgeyi indirmek istiyorum
SGK kayıt belgesi nasıl temin edilir,registration_document_query,normal,uzun,train,sgk kayıt belgesi nasıl temin edilir
kayıt belgesini başvuru için hazırlamam gerekiyor,registration_document_query,günlük,uzun,train,kayıt belgesini başvuru için hazırlamam gerekiyor
sgk tescil belgesini almak istiyorum,registration_document_query,normal,orta,train,sgk tescil belgesini almak istiyorum
sgk'dan online belge almak istiyorum,registration_document_query,normal,orta,train,sgk dan online belge almak istiyorum
sgk tescil belgesinin güncel versiyonunu almak istiyorum eski belgem var ama geçerliliği dolmuş olabilir,registration_document_query,normal,uzun,validation,sgk tescil belgesinin güncel versiyonunu almak istiyorum eski belgem var ama geçerliliği dolmuş olabilir
sigortalilik belgesini nereden alabilirim,registration_document_query,bozuk,uzun,validation,sigortalilik belgesini nereden alabilirim
sigorta belgem lazım,registration_document_query,günlük,kısa,validation,sigorta belgem lazım
Sigorta belgemi çıkartmak istiyorum,registration_document_query,normal,kısa,validation,sigorta belgemi çıkartmak istiyorum
tescil belgesi lazım nası alıyorlar,registration_document_query,günlük,orta,validation,tescil belgesi lazım nası alıyorlar
sgk dan belge çıkartıcam,registration_document_query,normal,kısa,validation,sgk dan belge çıkartıcam
sigortalılık belgesini almak istiyorum,registration_document_query,normal,kısa,validation,sigortalılık belgesini almak istiyorum
sigortalılık belgesi nereden çıkıyor,registration_document_query,normal,uzun,test,sigortalılık belgesi nereden çıkıyor
resmi kurumlara sunmak icin sgk belgesi gerekiyor,registration_document_query,bozuk,orta,test,resmi kurumlara sunmak icin sgk belgesi gerekiyor
sgk tescil belgesi almak istiyorum,registration_document_query,normal,orta,test,sgk tescil belgesi almak istiyorum
sgk sigortalılık durumu belgesi e-devletten çıkar mı,registration_document_query,normal,orta,test,sgk sigortalılık durumu belgesi e devletten çıkar mı
resmi sigorta belgesini edevletten cikarmak istiyorum,registration_document_query,bozuk,uzun,test,resmi sigorta belgesini edevletten cikarmak istiyorum
başvuru için sigortalılık belgesine ihtiyacım var,registration_document_query,normal,orta,test,başvuru için sigortalılık belgesine ihtiyacım var
sgk belgesi nasıl alınıyo,registration_document_query,normal,kısa,test,sgk belgesi nasıl alınıyo
iş başvurusu için sgk'dan sigortalılık tescil belgesi almam gerekiyor bunu nası yapabilirim,registration_document_query,günlük,uzun,test,iş başvurusu için sgk dan sigortalılık tescil belgesi almam gerekiyor bunu nası yapabilirim
emekli olmak için kaç gün primim olması lazım,retirement_query,normal,orta,train,emekli olmak için kaç gün primim olması lazım
sigorta başlangıç tarihim ve toplam prim günlerime göre ne zaman emekli olabileceğimi hesaplamak istiyorum,retirement_query,günlük,uzun,train,sigorta başlangıç tarihim ve toplam prim günlerime göre ne zaman emekli olabileceğimi hesaplamak istiyorum
emeklilik yaşım dolmuş mu,retirement_query,günlük,kısa,train,emeklilik yaşım dolmuş mu
ne zaman emekli olabilecegimi sorgulamak istiyorum,retirement_query,bozuk,orta,train,ne zaman emekli olabilecegimi sorgulamak istiyorum
emeklilik yaş sınırımı doldurdum mu,retirement_query,normal,orta,train,emeklilik yaş sınırımı doldurdum mu
emekli olma tarihi,retirement_query,bozuk,kısa,train,emekli olma tarihi
emekliliğe ne kadar var,retirement_query,normal,kısa,train,emekliliğe ne kadar var
Kaç yıl daha çalışmam gerekiyor emekli olmak için,retirement_query,normal,uzun,train,kaç yıl daha çalışmam gerekiyor emekli olmak için
erken emeklilik için hangi şartları taşıyorum,retirement_query,günlük,orta,train,erken emeklilik için hangi şartları taşıyorum
emekli aylığı almaya hak kazandım mı,retirement_query,normal,orta,train,emekli aylığı almaya hak kazandım mı
Emekliliğe hak kazanıp kazanmadığımı öğrenmek istiyorum,retirement_query,normal,orta,train,emekliliğe hak kazanıp kazanmadığımı öğrenmek istiyorum
şu an emekli olmaya hak kazanıp kazanmadığımı görmek istiyorum,retirement_query,normal,uzun,train,şu an emekli olmaya hak kazanıp kazanmadığımı görmek istiyorum
primim emeklilik için yeterli mi,retirement_query,günlük,orta,train,primim emeklilik için yeterli mi
Erken emeklilik hakkım var mı,retirement_query,normal,uzun,train,erken emeklilik hakkım var mı
emekliliğim ne zaman gelecek,retirement_query,normal,uzun,train,emekliliğim ne zaman gelecek
kaç yıl sonra emekli olabileceğimi öğrenmek istiyorum,retirement_query,normal,orta,train,kaç yıl sonra emekli olabileceğimi öğrenmek istiyorum
"emeklilik için gerekli yaş, prim günü ve sigortalılık süresi şartlarını taşıyıp taşımadığımı öğrenmek istiyom",retirement_query,günlük,uzun,train,emeklilik için gerekli yaş prim günü ve sigortalılık süresi şartlarını taşıyıp taşımadığımı öğrenmek istiyom
emekliligime ne kadar kaldi,retirement_query,bozuk,kısa,train,emekliligime ne kadar kaldi
emeklilige ne kadar kalmis,retirement_query,bozuk,kısa,train,emeklilige ne kadar kalmis
erken emeklilik programına dahil olup olamayacağımı ve emeklilik şartlarımı öğrenmek istiyorum,retirement_query,normal,uzun,train,erken emeklilik programına dahil olup olamayacağımı ve emeklilik şartlarımı öğrenmek istiyorum
emeklilik hesabı yaptırmak istiyorum,retirement_query,normal,kısa,train,emeklilik hesabı yaptırmak istiyorum
Emekli aylığına hak kazandım mı,retirement_query,normal,orta,train,emekli aylığına hak kazandım mı
emekli olabilir miyim acaba,retirement_query,normal,kısa,train,emekli olabilir miyim acaba
emeklilik şartlarımın tamam olup olmadığını öğrenmek istiyom,retirement_query,günlük,orta,train,emeklilik şartlarımın tamam olup olmadığını öğrenmek istiyom
emekli olmak için şartlarım tamam mı,retirement_query,günlük,orta,train,emekli olmak için şartlarım tamam mı
sgk'ya göre emekli olmam için gereken prim gün sayısını ve yaşı tamamlayıp tamamlamadığımı öğrenmek istiyorum,retirement_query,normal,uzun,train,sgk ya göre emekli olmam için gereken prim gün sayısını ve yaşı tamamlayıp tamamlamadığımı öğrenmek istiyorum
emeklilik durumum nedir,retirement_query,bozuk,orta,train,emeklilik durumum nedir
ne zaman emekli olurum,retirement_query,normal,kısa,train,ne zaman emekli olurum
emekli olabilir miyim,retirement_query,günlük,kısa,train,emekli olabilir miyim
şu anki çalışma durumuma göre kaç yıl sonra emekli olabileceğimi sgk'dan sorgulamak istiyorum,retirement_query,normal,uzun,train,şu anki çalışma durumuma göre kaç yıl sonra emekli olabileceğimi sgk dan sorgulamak istiyorum
yaş ve prim açısından emekliliğe ne kadar kaldı,retirement_query,normal,orta,train,yaş ve prim açısından emekliliğe ne kadar kaldı
emeklilik durumumu sorgulamak istiyorum,retirement_query,normal,kısa,train,emeklilik durumumu sorgulamak istiyorum
emeklilik hakkımın oluşup oluşmadığını öğrenmek istiyom,retirement_query,günlük,uzun,train,emeklilik hakkımın oluşup oluşmadığını öğrenmek istiyom
Emeklilik şartlarımı öğrenmek istiyorum,retirement_query,normal,kısa,train,emeklilik şartlarımı öğrenmek istiyorum
emeklilik şartlarım neler,retirement_query,normal,kısa,train,emeklilik şartlarım neler
emekli olmak için ne lazım,retirement_query,normal,orta,validation,emekli olmak için ne lazım
emeklilik basvurusu yapabilir miyim,retirement_query,bozuk,kısa,validation,emeklilik basvurusu yapabilir miyim
kaç yaşında emekli olurum,retirement_query,günlük,kısa,validation,kaç yaşında emekli olurum
emekli olmaya ne kadar var benim,retirement_query,normal,orta,validation,emekli olmaya ne kadar var benim
emeklilik hesaplama nası yapılır,retirement_query,günlük,kısa,validation,emeklilik hesaplama nası yapılır
Emeklilik hakkım var mı,retirement_query,normal,kısa,validation,emeklilik hakkım var mı
ne zaman emekliyim,retirement_query,normal,kısa,validation,ne zaman emekliyim
emeklilik için daha ne kadar çalışıcam,retirement_query,normal,uzun,test,emeklilik için daha ne kadar çalışıcam
sgkya gore emekli olma tarihim,retirement_query,bozuk,orta,test,sgkya gore emekli olma tarihim
emekliliğimi sorgulayabilir miyim,retirement_query,normal,kısa,test,emekliliğimi sorgulayabilir miyim
ne zaman emekli olucam,retirement_query,normal,kısa,test,ne zaman emekli olucam
emeklilik tarihim sistemde gorunuyor mu,retirement_query,bozuk,orta,test,emeklilik tarihim sistemde gorunuyor mu
emeklilik için yaş ve gün şartlarım tamam mı,retirement_query,normal,orta,test,emeklilik için yaş ve gün şartlarım tamam mı
Emekli olmam için ne kadar süre kaldığını öğrenmek istiyorum,retirement_query,normal,uzun,test,emekli olmam için ne kadar süre kaldığını öğrenmek istiyorum
emeklilik hesabımı öğrenmek istiyom,retirement_query,günlük,kısa,test,emeklilik hesabımı öğrenmek istiyom
sgk'daki çalışma geçmişimi görmek istiyorum,service_record_query,normal,uzun,train,sgk daki çalışma geçmişimi görmek istiyorum
i̇ş geçmişimi sgk üzerinden sorgulamak istiyorum,service_record_query,günlük,orta,train,i ş geçmişimi sgk üzerinden sorgulamak istiyorum
emeklilik başvurusu için hizmet dökümü belgesine ihtiyacım var nası temin edebilirim,service_record_query,günlük,uzun,train,emeklilik başvurusu için hizmet dökümü belgesine ihtiyacım var nası temin edebilirim
gecmiste calistigim yerlerin sgk kaydi,service_record_query,bozuk,orta,train,gecmiste calistigim yerlerin sgk kaydi
sgk hizmet belgesi,service_record_query,normal,kısa,train,sgk hizmet belgesi
hizmet dokumumu nasil alcam,service_record_query,bozuk,kısa,train,hizmet dokumumu nasil alcam
sgk hizmet cetvelimi almak istiyorum,service_record_query,normal,orta,train,sgk hizmet cetvelimi almak istiyorum
sgk çalışma belgesi lazım bana,service_record_query,normal,uzun,train,sgk çalışma belgesi lazım bana
çalışma hayatım boyunca sigortalı olduğum işyerleri hangileri,service_record_query,günlük,uzun,train,çalışma hayatım boyunca sigortalı olduğum işyerleri hangileri
sgk hizmet dökümümü görmek istiyorum,service_record_query,normal,uzun,train,sgk hizmet dökümümü görmek istiyorum
tüm iş geçmişimi tek belgede görmek istiyorum,service_record_query,normal,orta,train,tüm iş geçmişimi tek belgede görmek istiyorum
hangi tarihlerde sigortalı çalıştığımı görmek istiyorum,service_record_query,normal,orta,train,hangi tarihlerde sigortalı çalıştığımı görmek istiyorum
nerelerde çalıştım sgk'ya göre,service_record_query,günlük,kısa,train,nerelerde çalıştım sgk ya göre
SGK hizmet dökümü belgemi almak istiyorum,service_record_query,normal,orta,train,sgk hizmet dökümü belgemi almak istiyorum
Hangi işyerlerinde çalıştığımı görmek istiyorum,service_record_query,normal,orta,train,hangi işyerlerinde çalıştığımı görmek istiyorum
eski işyerlerimi sgk kayıtlarından görmek istiyorum,service_record_query,normal,uzun,train,eski işyerlerimi sgk kayıtlarından görmek istiyorum
hizmet belgesi lazım,service_record_query,günlük,kısa,train,hizmet belgesi lazım
dokum belgemi alabilir miyim,service_record_query,bozuk,kısa,train,dokum belgemi alabilir miyim
simdiye kadar hangi isyerlerinde sigortali calistim ve bu bilgilere nereden ulasabilirim,service_record_query,bozuk,uzun,train,simdiye kadar hangi isyerlerinde sigortali calistim ve bu bilgilere nereden ulasabilirim
SGK'daki tüm çalışma kayıtlarımı görmek istiyorum,service_record_query,normal,uzun,train,sgk daki tüm çalışma kayıtlarımı görmek istiyorum
nerelerde çalıştığıma bakıcam,service_record_query,normal,kısa,train,nerelerde çalıştığıma bakıcam
çalışma süreleri sgk döküm,service_record_query,normal,uzun,train,çalışma süreleri sgk döküm
sgk dan döküm alıcam nasıl yapıyorum,service_record_query,normal,orta,train,sgk dan döküm alıcam nasıl yapıyorum
sgk üzerindeki tüm çalışma kayıtlarımı tarih ve işyeri bilgisiyle birlikte görmek istiyom,service_record_query,günlük,uzun,train,sgk üzerindeki tüm çalışma kayıtlarımı tarih ve işyeri bilgisiyle birlikte görmek istiyom
hangi işlerde çalışmışım sgk'da kayıtlı,service_record_query,günlük,orta,train,hangi işlerde çalışmışım sgk da kayıtlı
çalışma hayatım boyunca hangi işverenlere bağlı çalıştım,service_record_query,normal,orta,train,çalışma hayatım boyunca hangi işverenlere bağlı çalıştım
is gecmisim sgkda nasil gorunuyor,service_record_query,bozuk,orta,train,is gecmisim sgkda nasil gorunuyor
kariyerim boyunca çalıştığım yerlerin listesi ve çalışma sürelerine sgk'dan nasıl bakabilirim,service_record_query,normal,uzun,train,kariyerim boyunca çalıştığım yerlerin listesi ve çalışma sürelerine sgk dan nasıl bakabilirim
döküm almak için ne yapmalıyım,service_record_query,günlük,orta,train,döküm almak için ne yapmalıyım
sigortalı olarak çalıştığım tüm işyerlerini görmek istiyorum,service_record_query,normal,uzun,train,sigortalı olarak çalıştığım tüm işyerlerini görmek istiyorum
iş başvurusu için hizmet döküm belgesine ihtiyacım var,service_record_query,normal,orta,train,iş başvurusu için hizmet döküm belgesine ihtiyacım var
Hizmet dökümümü görüntülemek istiyorum,service_record_query,normal,kısa,train,hizmet dökümümü görüntülemek istiyorum
sigorta geçmişimi gösteren resmi dökümü almak istiyorum,service_record_query,günlük,uzun,train,sigorta geçmişimi gösteren resmi dökümü almak istiyorum
sgk sisteminde kayıtlı çalışma tarihlerim,service_record_query,normal,uzun,train,sgk sisteminde kayıtlı çalışma tarihlerim
Çalıştığım yerlerin listesini görüntülemek istiyorum,service_record_query,normal,orta,train,çalıştığım yerlerin listesini görüntülemek istiyorum
hizmet dökümümü almak istiyorum,service_record_query,normal,kısa,validation,hizmet dökümümü almak istiyorum
calisma gecmisimi sgkdan almak istiyorum,service_record_query,bozuk,orta,validation,calisma gecmisimi sgkdan almak istiyorum
sgk da hangi işlerde çalışmışım,service_record_query,günlük,uzun,validation,sgk da hangi işlerde çalışmışım
işyeri bazında çalışma sürelerimi görmek istiyorum,service_record_query,normal,orta,validation,işyeri bazında çalışma sürelerimi görmek istiyorum
çalışma döküm belgesini almak istiyorum,service_record_query,günlük,orta,validation,çalışma döküm belgesini almak istiyorum
çalışma kayıtlarım sgk'da var mı,service_record_query,normal,orta,validation,çalışma kayıtlarım sgk da var mı
Hizmet döküm belgesini nasıl alabilirim,service_record_query,normal,uzun,validation,hizmet döküm belgesini nasıl alabilirim
Geçmiş işyerlerimi ve çalışma sürelerimi öğrenmek istiyorum,service_record_query,normal,orta,test,geçmiş işyerlerimi ve çalışma sürelerimi öğrenmek istiyorum
sgkdan dokum almak istiyorum,service_record_query,bozuk,kısa,test,sgkdan dokum almak istiyorum
sgk çalışma geçmişim,service_record_query,normal,kısa,test,sgk çalışma geçmişim
sgk döküm al,service_record_query,normal,kısa,test,sgk döküm al
sgk calisma kayitlarimi ekranda goruntulemek istiyorum,service_record_query,bozuk,orta,test,sgk calisma kayitlarimi ekranda goruntulemek istiyorum
4a hizmet dökümümü pdf olarak almak istiyorum,service_record_query,normal,uzun,test,4a hizmet dökümümü pdf olarak almak istiyorum
